base_image,group_emotion,individual_emotions
444543746_eda24fa21b_253_94382236@N00,happy,"['happy', 'happy', 'happy', 'fear']"
367591776_074343348e_169_78245069@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'neutral']"
2123377660_3f19ac80e4_2095_11768493@N00,happy,"['neutral', 'happy', 'fear', 'happy']"
2092145718_6e6b6d2827_2043_69188844@N00,happy,"['fear', 'happy', 'happy', 'sad', 'sad', 'neutral', 'happy', 'sad', 'happy', 'neutral']"
2282393411_eb1268f144_2063_8442940@N07,happy,"['happy', 'neutral', 'happy', 'happy', 'happy']"
824402541_76948bdfef_1276_67586024@N00,sad,"['sad', 'fear', 'happy', 'neutral']"
366565825_7ac6414035_118_23551531@N00,happy,"['happy', 'happy', 'happy', 'happy']"
381275604_f2347158cd_137_89999331@N00,happy,"['happy', 'happy', 'happy', 'happy', 'sad']"
391879220_babeb8287a_177_70432213@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
456496126_e3cb639f6c_242_37305800@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'sad']"
2558304356_91af5757a7_3122_26618269@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'happy']"
2234554589_e6fd0f3960_2217_9036575@N06,happy,"['happy', 'happy', 'neutral', 'angry']"
2113890400_bdb3a606b5_2033_48622565@N00,happy,"['sad', 'happy', 'happy', 'neutral', 'neutral', 'happy', 'happy']"
799481459_0c2b5885d9_1223_51857524@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1825418970_81b7e91ccc_2302_28425291@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'happy', 'happy', 'happy']"
360742623_173964b9aa_125_55568034@N00,happy,"['happy', 'happy', 'happy', 'happy', 'sad', 'neutral']"
2119844958_369733ab39_2335_41292280@N00,neutral,"['neutral', 'neutral', 'happy', 'sad', 'neutral']"
500909138_1d380371c6_205_41959784@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'neutral']"
572139279_580a5b360a_1082_38143932@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy']"
513945633_0d9a02c1ba_200_84178472@N00,happy,"['happy', 'neutral', 'fear', 'sad']"
743523922_99ebf61020_1134_9533660@N03,happy,"['happy', 'sad', 'happy', 'happy', 'happy', 'happy']"
2416458444_831094236b_3218_67158645@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
595845691_e58cdb0235_1229_19932750@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'neutral']"
2266362977_d1ca980ea6_2070_95057869@N00,neutral,"['neutral', 'happy', 'neutral', 'happy', 'sad']"
1356112406_f29e631a8a_1359_29641297@N00,happy,"['happy', 'happy', 'happy', 'happy']"
380954545_9c37d983ce_129_10492664@N00,happy,"['happy', 'happy', 'fear', 'happy', 'neutral', 'happy']"
2294635761_cd02dc385f_3060_31282112@N00,happy,"['happy', 'happy', 'sad', 'angry']"
500424627_75ee6e9725_224_70729079@N00,happy,"['happy', 'happy', 'happy', 'happy', 'sad', 'happy']"
354076986_ae52b98a68_155_80969054@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral', 'neutral']"
446269592_315854e41f_183_29557654@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1673697724_2c67bd26f6_2367_31146852@N00,happy,"['sad', 'happy', 'happy', 'happy']"
446861617_ed86cdcbd5_191_90121106@N00,neutral,"['neutral', 'angry', 'happy', 'neutral']"
2395914819_e4b82dd131_2251_58768707@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'happy', 'neutral', 'sad', 'sad', 'sad', 'neutral']"
2345474149_e6c9328c2a_2184_23478981@N05,happy,"['happy', 'happy', 'happy', 'happy', 'angry', 'happy']"
752468900_a570f24c4b_1147_56462663@N00,happy,"['happy', 'happy', 'happy', 'happy']"
381139768_388478dde2_185_54596057@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'happy']"
2283896213_7b892f3170_3056_24038209@N07,happy,"['happy', 'happy', 'happy', 'happy']"
495339757_7deb6378a2_232_14877070@N00,angry,"['angry', 'happy', 'fear', 'angry']"
1044534228_07471e99a9_1074_10676544@N02,happy,"['fear', 'happy', 'happy', 'angry', 'happy', 'happy', 'happy']"
2569499578_efb61a1ee7_3040_12203534@N08,happy,"['fear', 'sad', 'happy', 'happy', 'happy']"
370234411_0276215204_126_69602623@N00,happy,"['happy', 'happy', 'happy', 'angry', 'neutral']"
460570298_077f86d878_190_7824149@N02,happy,"['happy', 'happy', 'happy', 'neutral', 'angry']"
2602805052_f9400ff846_3113_48972611@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
1751504335_aac2feddbb_2414_38271488@N00,happy,"['sad', 'neutral', 'happy', 'happy', 'happy']"
2596206081_052253d034_3168_17859327@N00,sad,"['sad', 'happy', 'sad', 'neutral']"
2295279052_5f711722c9_3016_10991022@N04,happy,"['happy', 'sad', 'neutral', 'happy']"
1351175923_0266453ced_1359_81583686@N00,happy,"['happy', 'happy', 'happy', 'happy']"
818582474_1a4d7008db_1413_9748250@N02,happy,"['happy', 'happy', 'happy', 'happy']"
2104768965_b3492f3f5d_2102_21731680@N05,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
2106092670_f67afbdcfc_2004_59279200@N00,happy,"['happy', 'happy', 'angry', 'happy']"
2407131569_a93434c308_3122_13012680@N05,happy,"['neutral', 'happy', 'happy', 'happy', 'angry']"
1605189777_930a5e82ac_2146_65547475@N00,happy,"['happy', 'happy', 'happy', 'sad', 'fear', 'happy', 'happy', 'happy', 'neutral', 'sad']"
1844701275_acb7b67576_2329_16793426@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
1101500069_3215313afd_1331_11118351@N02,happy,"['happy', 'fear', 'happy', 'happy']"
2328234374_77fc0b3abb_2080_7392420@N04,happy,"['happy', 'neutral', 'happy', 'happy', 'happy']"
2433119228_6dc6f88679_2186_28664759@N00,happy,"['happy', 'happy', 'happy', 'happy']"
511893033_141289a795_219_75131634@N00,neutral,"['happy', 'sad', 'neutral', 'neutral']"
2492589864_de8a2e8c36_3028_96348375@N00,happy,"['happy', 'happy', 'happy', 'happy']"
482697870_4ff9b869de_198_39847021@N00,happy,"['neutral', 'happy', 'happy', 'happy']"
2131367212_ae1923f91e_2235_8430900@N06,happy,"['happy', 'happy', 'happy', 'happy']"
1640327347_a1c7f47e63_2131_15436499@N05,happy,"['sad', 'happy', 'happy', 'happy', 'neutral']"
540638778_981f83343b_1135_29039229@N00,happy,"['happy', 'neutral', 'happy', 'sad', 'neutral']"
2361624694_a65f0573fe_2176_41432413@N00,neutral,"['neutral', 'happy', 'neutral', 'neutral', 'happy']"
1189478088_27faf8d2aa_1163_62347353@N00,happy,"['happy', 'happy', 'happy', 'sad']"
509557075_c1b37edfd5_195_19323617@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2450751523_3027fc7ea4_3189_77863046@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
1448128403_5cbd1e85da_1323_14232079@N02,happy,"['happy', 'happy', 'neutral', 'neutral']"
404286815_2c81966596_132_59061312@N00,sad,"['sad', 'sad', 'sad', 'happy', 'happy', 'happy']"
354157125_978aed3ebe_130_38446435@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
2282229586_d293158479_3239_23513470@N05,happy,"['happy', 'happy', 'happy', 'happy']"
1326412454_7bd6352b27_1313_67586024@N00,happy,"['neutral', 'happy', 'sad', 'happy', 'happy']"
2502978143_b1789df45c_3020_90476046@N00,happy,"['happy', 'happy', 'angry', 'sad', 'neutral']"
2291952147_3b91667d78_2325_77594430@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'sad', 'happy']"
2304638980_0c18c0254b_3037_38872520@N00,happy,"['angry', 'happy', 'happy', 'happy', 'happy']"
395900443_d690b77636_187_18558269@N00,happy,"['happy', 'happy', 'happy', 'happy', 'fear']"
524384232_f936ab6453_225_42142749@N00,neutral,"['happy', 'happy', 'neutral', 'neutral', 'neutral']"
1450757323_10ed1c760e_1420_54201263@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'angry']"
2478938605_69d39e3695_3279_20977442@N07,happy,"['happy', 'happy', 'happy', 'happy']"
2422998616_30772d9b85_3244_50457502@N00,happy,"['fear', 'happy', 'sad', 'happy', 'happy']"
1451711708_7fb0919bc6_1430_58839782@N00,happy,"['happy', 'happy', 'sad', 'sad']"
814316232_68e0595174_1200_8977172@N02,happy,"['happy', 'happy', 'happy']"
2422826431_1905195815_3034_10066546@N03,happy,"['fear', 'neutral', 'sad', 'happy', 'happy', 'happy', 'happy', 'happy', 'angry', 'sad']"
2581159087_f723fd8dc9_3258_7648472@N04,happy,"['happy', 'happy', 'happy', 'happy']"
400333601_ac56a587ac_142_94505081@N00,happy,"['neutral', 'happy', 'happy', 'happy']"
770113013_f4e650c897_1383_96761001@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
1674371490_1edb471a6d_2359_53668943@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2409537152_365bedfb37_2010_26598821@N00,happy,"['happy', 'happy', 'happy', 'fear']"
1353103557_849fce4e7f_1356_11569029@N05,happy,"['happy', 'sad', 'happy', 'happy', 'happy', 'happy']"
2081134141_13a90a5af7_2296_86848368@N00,happy,"['sad', 'happy', 'happy', 'happy', 'surprise']"
382154287_c4b74db95a_166_16091063@N00,happy,"['sad', 'happy', 'happy', 'happy']"
969073082_6d1e2d9e30_1068_25916960@N00,happy,"['sad', 'happy', 'fear', 'happy']"
1332879596_32eb6e698c_1054_9717094@N03,happy,"['happy', 'happy', 'neutral', 'happy', 'neutral', 'happy', 'fear']"
454260288_7abf987695_197_49976037@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1241153932_16869961c3_1217_56825501@N00,fear,"['fear', 'happy', 'fear', 'happy']"
2112156812_6de02bf58e_2283_10893925@N03,happy,"['happy', 'neutral', 'happy', 'neutral']"
2124110903_60d696e5c0_2003_18539277@N00,happy,"['happy', 'sad', 'happy', 'happy', 'happy', 'happy']"
437171146_1075108308_186_33494407@N00,happy,"['happy', 'happy', 'happy', 'happy']"
578505134_9b1d292bba_1103_54076126@N00,happy,"['happy', 'sad', 'happy', 'happy']"
505318298_a01f4ca763_202_27446776@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
1654877731_ca0baa7693_2206_8491991@N03,happy,"['happy', 'neutral', 'happy', 'happy']"
405579580_1d6a979b80_166_57334781@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2037548203_7410541b9d_2072_20787834@N04,happy,"['sad', 'happy', 'happy', 'happy', 'sad', 'happy']"
952722317_eedee79fc9_1317_64939463@N00,happy,"['happy', 'happy', 'fear', 'happy', 'happy']"
2250265899_21bc4a240f_2289_46805349@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
2318561787_70d22b009f_2067_22971411@N00,happy,"['sad', 'happy', 'happy', 'happy', 'happy']"
1448418189_8445e477c0_1437_14227920@N03,happy,"['happy', 'neutral', 'happy', 'happy']"
429783298_afc3698198_184_35939596@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
2038362878_dd701d9a7c_2345_20787834@N04,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2122541876_99064e7410_2152_21967068@N02,happy,"['happy', 'happy', 'sad', 'angry', 'happy']"
2420608814_3b9553d087_2136_57267473@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
2368244990_c1e7f38e28_2376_12029380@N07,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
403135487_7575eb5df7_146_13247793@N00,happy,"['happy', 'happy', 'happy', 'angry']"
2434386025_d3a14ec356_2195_82565522@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
430108514_5871ed3fde_187_7124132@N07,happy,"['happy', 'happy', 'neutral', 'happy']"
2577916086_c055ef1ffe_3257_16757486@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
2267985088_1e7d466e18_2366_8586533@N08,happy,"['happy', 'happy', 'happy', 'happy']"
415292052_91a1c083ac_169_97081434@N00,neutral,"['neutral', 'happy', 'neutral', 'happy', 'fear']"
468297760_f2aff8a4b6_172_20892825@N00,happy,"['neutral', 'fear', 'happy', 'sad', 'happy', 'happy', 'sad', 'angry']"
358634400_32a338f10b_158_11674579@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
369666602_76562563e8_140_81262791@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'happy']"
1428116733_59bf751399_1002_15547553@N00,happy,"['happy', 'happy', 'happy', 'happy']"
756738939_cfe7f09959_1262_9547893@N08,happy,"['happy', 'happy', 'happy', 'happy']"
554098676_112c2d1c4a_1222_35867377@N00,happy,"['happy', 'happy', 'fear', 'happy']"
470035377_f73ff40e4e_214_24233013@N00,happy,"['neutral', 'happy', 'happy', 'happy']"
2109371847_af99412bef_2145_28637447@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral', 'angry', 'happy', 'fear']"
2361786756_93eba4d612_2375_25023722@N04,happy,"['happy', 'happy', 'angry', 'happy', 'neutral']"
2552620637_2e86d4e9b8_3093_90756236@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
2256373790_24d1fa59f8_2136_24775043@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'sad']"
1604178629_50d047de31_2111_13346994@N02,happy,"['happy', 'happy', 'happy', 'happy']"
868786056_db9e6493b3_1007_10037749@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2308755370_5b29622d26_2211_8058850@N04,happy,"['happy', 'happy', 'fear', 'happy']"
2606922174_b471027855_3252_18723167@N00,angry,"['neutral', 'angry', 'angry', 'happy']"
660665458_7a02d80d9a_1368_9445075@N05,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2231535987_f60e6a15c5_2093_66823806@N00,happy,"['happy', 'happy', 'happy', 'happy']"
388159315_7159caa804_128_20468761@N00,sad,"['sad', 'neutral', 'sad', 'sad']"
2381067454_735491442e_2184_32545249@N00,happy,"['happy', 'happy', 'happy', 'fear']"
2308519691_a9562978ca_3273_36428654@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2189993450_fe4fcf10c3_2409_81462572@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2548313347_5d917824a3_3161_97641052@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2398676922_2f167f649a_2108_10547656@N05,happy,"['happy', 'happy', 'happy', 'happy']"
2252006860_9038bfab80_2321_7780116@N03,neutral,"['angry', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
2512525702_c7d2e1b468_2159_64635983@N00,happy,"['happy', 'neutral', 'happy', 'neutral', 'neutral', 'happy', 'happy']"
578126726_7b231e4bab_1274_8975056@N05,happy,"['happy', 'neutral', 'happy', 'happy']"
2631173542_9cd8e436a4_3167_53692046@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'happy', 'happy']"
540565704_58b3c502a6_1299_56296827@N00,happy,"['happy', 'sad', 'happy', 'happy']"
800488971_c7a9c6da38_1417_7619711@N02,happy,"['happy', 'happy', 'happy', 'happy']"
366787317_f3c1cbd291_154_58595317@N00,happy,"['happy', 'happy', 'happy', 'happy', 'sad']"
369594028_0596174b92_124_39769157@N00,happy,"['happy', 'happy', 'fear', 'happy']"
357884575_005b2963da_154_13121985@N00,happy,"['happy', 'happy', 'happy', 'happy', 'sad']"
2435360092_db1a782f98_2166_71631202@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1171813547_8a98c4d958_1110_54777227@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'happy', 'happy', 'neutral', 'happy']"
1034780944_b8f51a3b8a_1103_21905364@N00,happy,"['happy', 'happy', 'neutral', 'happy', 'neutral']"
449724377_8996aa94d9_226_64997799@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1275905752_41f5069ac1_1043_95396592@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
1421546489_be851bc42c_1056_22427220@N00,happy,"['sad', 'happy', 'happy', 'happy', 'sad', 'happy', 'happy', 'happy']"
2081915974_89dfaaf4db_2248_86848368@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2568402594_b431dd73ce_3093_55727689@N00,neutral,"['neutral', 'fear', 'happy', 'neutral']"
2385099896_c0222a59cd_2151_22177574@N04,happy,"['neutral', 'happy', 'happy', 'happy', 'happy']"
1480723468_dc70d91c48_1076_7429660@N02,happy,"['happy', 'happy', 'happy', 'sad']"
360129169_2e6379cb54_164_49566261@N00,happy,"['happy', 'happy', 'happy', 'happy']"
897872128_dee6333e59_1310_8430359@N07,happy,"['happy', 'happy', 'happy', 'happy']"
2122600897_bca03714c1_2142_11768493@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
2179893552_b3636de79e_2333_72324736@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'happy']"
2263672517_734fcc1b0e_2262_10851471@N08,happy,"['happy', 'sad', 'happy', 'happy', 'happy']"
1636436185_4515dc6d6e_2203_27353659@N00,neutral,"['neutral', 'neutral', 'neutral', 'fear', 'neutral']"
2438932006_f663d03035_2230_70344121@N00,happy,"['happy', 'neutral', 'neutral', 'angry', 'happy']"
2311951626_a789f8b0fc_3112_10066509@N05,neutral,"['neutral', 'happy', 'sad', 'fear', 'angry']"
383191550_d89080edde_146_24631297@N00,happy,"['angry', 'happy', 'happy', 'happy', 'happy']"
1186488055_eea452664a_1137_9112142@N05,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2177400809_41dbaa9bdc_2359_46869487@N00,happy,"['happy', 'happy', 'happy', 'fear', 'happy']"
353963063_4bd7df54ae_165_71389003@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'neutral']"
469162278_ed3b2ab92a_210_33494407@N00,happy,"['fear', 'happy', 'happy', 'happy', 'happy']"
1807057126_0920e32f41_2098_16895171@N02,happy,"['sad', 'happy', 'happy', 'happy', 'sad']"
829437212_7124f8db1f_1429_40957738@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
366738659_314b690fba_111_60675106@N00,happy,"['fear', 'sad', 'neutral', 'happy', 'happy', 'happy']"
445655103_39fdbf8c7d_228_25275200@N00,happy,"['neutral', 'neutral', 'happy', 'happy', 'happy']"
479864561_751406130f_175_20266758@N00,happy,"['happy', 'happy', 'happy', 'happy', 'neutral']"
2297577012_d55e261a83_3183_57546530@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
1595845122_ed5eec8838_2147_39174288@N00,sad,"['sad', 'sad', 'happy', 'happy', 'sad', 'sad', 'happy', 'happy', 'neutral', 'fear']"
2569896986_b1565023c4_3129_70587360@N00,neutral,"['surprise', 'neutral', 'neutral', 'happy', 'happy']"
515398694_44bd692d1d_190_14182415@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'happy']"
2423638148_4cbdb0105b_3044_10066546@N03,neutral,"['fear', 'neutral', 'neutral', 'happy', 'happy']"
2141964041_9059649bc2_2078_7895659@N06,happy,"['fear', 'happy', 'happy', 'happy', 'happy', 'happy']"
421214947_a102280fa4_160_11642286@N00,sad,"['sad', 'happy', 'sad', 'fear', 'happy']"
2135277614_76d1bd694d_2272_12593819@N00,happy,"['happy', 'happy', 'happy', 'fear', 'happy']"
2450380175_0dca68d0f3_3124_7414326@N04,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
403052097_31ada2667b_187_33494407@N00,happy,"['neutral', 'angry', 'happy', 'sad', 'happy']"
2086908127_2f0061b421_2268_72382186@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2400085181_a07f98cb01_2404_25468748@N04,happy,"['happy', 'neutral', 'happy', 'happy', 'neutral']"
764377949_6b99dbe488_1157_21847161@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'sad']"
731248020_4f077c3a57_1027_9714810@N07,fear,"['fear', 'fear', 'happy', 'neutral', 'happy']"
2396385817_fcc2a1505e_2025_68525400@N00,happy,"['happy', 'neutral', 'happy', 'happy', 'happy']"
2215208247_552ae5029c_2062_86204735@N00,happy,"['neutral', 'happy', 'sad', 'happy', 'happy']"
2190426233_980c010629_2313_35034362857@N01,happy,"['sad', 'neutral', 'happy', 'happy', 'happy']"
873185306_c4c5938548_1231_70194489@N00,happy,"['happy', 'happy', 'happy', 'happy', 'happy']"
2103171496_2c0c2568bf_2115_81592379@N00,neutral,"['neutral', 'happy', 'neutral', 'happy', 'surprise']"
2578009895_ed204490fd_3096_89203331@N00,happy,"['sad', 'happy', 'happy', 'happy']"
501471416_dbd48b05b4_196_31889260@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2507650010_51950562df_3217_23068576@N02,happy,"['happy', 'sad', 'happy', 'happy']"
458357344_2a34c2b113_237_97314326@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
2196561465_0d6a141c50_2409_13475539@N00,happy,"['happy', 'happy', 'happy', 'happy']"
529446363_213d49bf72_1174_40381455@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1795653037_2af5301fe2_2274_71685549@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2473137279_31f68ea973_3204_10447223@N08,happy,"['happy', 'happy', 'happy', 'happy']"
527313805_82dd621830_1044_75117272@N00,happy,"['happy', 'happy', 'fear', 'happy']"
431602678_78e4e7bb85_186_16499435@N00,happy,"['happy', 'happy', 'happy', 'fear']"
2110908324_a5ce76f2c9_2245_21169111@N07,happy,"['happy', 'sad', 'happy', 'neutral']"
1032848056_7cd7ffcf5d_1006_79546572@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2278343901_7db25a4224_2306_23930514@N05,happy,"['happy', 'happy', 'happy', 'happy']"
2359569538_b276fea988_3031_10575036@N06,happy,"['happy', 'happy', 'happy', 'happy']"
441340514_e2f822c88d_179_33494407@N00,happy,"['happy', 'happy', 'happy', 'happy']"
847712410_bc183f8d0c_1339_80503435@N00,happy,"['sad', 'happy', 'happy', 'happy']"
632046000_5a39bb6eb5_1193_49469789@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2604331336_ac6d54a356_3186_9916619@N05,happy,"['happy', 'fear', 'fear', 'fear', 'neutral', 'happy', 'happy', 'angry', 'happy', 'happy', 'neutral']"
671608790_268a268027_1072_9296314@N08,happy,"['happy', 'happy', 'angry', 'happy']"
572107896_d4f94c6888_1020_45639239@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1910440483_2a5a4dfa0e_2011_7205122@N03,happy,"['happy', 'happy', 'happy', 'happy']"
2218627280_f0e4905659_2100_32904951@N00,happy,"['happy', 'happy', 'happy', 'happy']"
369523023_a043d3e647_163_56669926@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1348239487_0434c59a85_1105_52911558@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2038281716_aeaf7160e1_2125_11550544@N05,fear,"['fear', 'fear', 'angry', 'happy']"
430239181_61b4d46a50_181_7439788@N07,sad,"['happy', 'sad', 'sad', 'neutral']"
447912908_44d5a38147_202_28576837@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2500286780_8fcc0ee8a5_2243_21963786@N08,happy,"['happy', 'neutral', 'happy', 'happy']"
366495581_4abc5b0287_138_61935966@N00,happy,"['happy', 'happy', 'happy', 'sad']"
518345600_ac7db11048_209_43141685@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2597934327_e1d3ac8517_3088_91636052@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
1358016371_82d7a99c4e_1122_34163907@N00,happy,"['happy', 'happy', 'neutral', 'happy']"
1828239691_ffdb2743bf_2418_70155418@N00,happy,"['happy', 'happy', 'happy', 'happy']"
447762054_3d96ee089b_208_65052362@N00,happy,"['happy', 'happy', 'happy', 'happy']"
765756440_e67d1bdb9a_1021_8489790@N03,happy,"['happy', 'sad', 'happy', 'happy']"
993264043_86f40a5564_1097_8340593@N06,happy,"['happy', 'neutral', 'angry', 'happy']"
2425950998_f52e7794ba_2348_25816675@N07,happy,"['happy', 'neutral', 'happy', 'happy']"
464966320_289e523fee_176_22688286@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
405110239_471e9cddd5_173_42909337@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
2229374275_1ef7c2d765_2253_9754329@N08,happy,"['happy', 'angry', 'happy', 'happy']"
491319564_5c6766083d_226_8213628@N04,happy,"['happy', 'happy', 'happy', 'happy']"
461106167_7c9ce377cf_191_83106697@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2199372321_7d182c91ab_2079_10986586@N05,neutral,"['happy', 'angry', 'neutral', 'neutral']"
1011891580_30a645c434_1343_83485605@N00,happy,"['happy', 'happy', 'happy', 'happy']"
359832056_a20b7cc663_123_74482383@N00,sad,"['sad', 'happy', 'happy', 'sad']"
1881668414_8557efbdfb_2164_99766845@N00,happy,"['happy', 'angry', 'happy', 'happy']"
447258998_4d838b0271_239_71075828@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2417447643_f1268dd9cb_2180_43195273@N00,happy,"['happy', 'happy', 'happy', 'sad']"
2178018233_57b28fbee8_2304_16682684@N00,neutral,"['neutral', 'neutral', 'neutral', 'happy']"
457702331_fc562edbb1_228_7808052@N06,happy,"['happy', 'happy', 'happy', 'happy']"
1995022472_791a447bb1_2362_56335109@N00,happy,"['happy', 'happy', 'happy', 'happy']"
1560115008_5447fcf7a7_2090_65584845@N00,happy,"['happy', 'happy', 'happy', 'happy']"
432811191_e631caef2a_159_7500631@N06,happy,"['happy', 'happy', 'happy', 'happy']"
1943319372_309b155555_2186_92155448@N00,happy,"['happy', 'happy', 'happy', 'happy']"
777415406_5ba9faec97_1363_9945496@N02,happy,"['happy', 'happy', 'happy', 'happy']"
2169171520_cda18ed2e4_2355_17164193@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
2436165979_06b905c4be_2143_76784944@N00,happy,"['happy', 'happy', 'happy', 'happy']"
353593057_dead4be151_129_99694168@N00,happy,"['happy', 'sad', 'happy', 'happy']"
451176056_9a96f51b0d_228_7496597@N03,happy,"['happy', 'angry', 'happy', 'happy', 'sad', 'happy']"
381539901_7521fd56c8_98_44957391@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2612771466_4d15c79428_3137_72185868@N00,happy,"['happy', 'happy', 'happy', 'neutral']"
566623186_f44659b509_1330_12984545@N00,happy,"['happy', 'neutral', 'happy', 'happy']"
2411412841_d019361ff4_3146_99495832@N00,happy,"['fear', 'happy', 'happy', 'happy']"
2145253695_4b7d70f04c_2225_84821907@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2342651667_525e9aeaa3_2113_68473686@N00,happy,"['happy', 'happy', 'happy', 'sad', 'happy', 'happy']"
421802323_f735f2277a_186_27545346@N00,happy,"['happy', 'happy', 'happy', 'happy']"
2350532746_c7ee22268b_2276_62417949@N00,happy,"['happy', 'happy', 'happy', 'happy']"
527931323_d51d27a3a9_1105_49243361@N00,happy,"['happy', 'neutral', 'happy', 'neutral', 'fear', 'angry']"
385245197_216802c645_147_30062889@N00,happy,"['happy', 'happy', 'happy', 'happy']"
463720165_af0f7a24f3_214_10145087@N00,happy,"['neutral', 'happy', 'surprise', 'happy', 'happy', 'happy']"
464972631_1c67e84f70_209_22688286@N00,neutral,"['sad', 'neutral', 'neutral', 'neutral', 'happy', 'happy', 'happy']"
524934952_2718a62bd0_194_83838608@N00,happy,"['happy', 'happy', 'happy', 'neutral', 'sad', 'happy']"
1392957559_479595945f_1164_9021156@N03,happy,"['happy', 'happy', 'happy', 'happy', 'happy', 'happy', 'happy']"
2192018577_42f194fc9c_2168_61798155@N00,happy,"['neutral', 'happy', 'happy', 'happy', 'sad']"
515451769_22edcb4451_216_80169899@N00,happy,"['happy', 'happy', 'happy', 'happy']"
